Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Rhododendron_multicolor,13,0,1,0.99,0.995
Rhododendron_mucronulatum,13,0,1,0.99,0.995
Rhododendron_schlippenbachii,13,0,1,1,1
Rhododendron_scabrifolium,x,1,0.5,0.93,0.715
Rhododendron_henryi,x,0,1,0.95,0.975
Rhododendron_morii,x,1,0.57,0.99,0.78
Rhododendron_mitriforme,x,0,1,0.89,0.945
Rhododendron_irroratum,x,0,1,0.94,0.97
Rhododendron_pentaphyllum,x,0,0.98,0.82,0.9
Rhododendron_fortunei,x,0,0.92,0.89,0.905
Rhododendron_correoides,x,0,1,0.93,0.965
Rhododendron_farrerae,x,0,1,0.87,0.935
Rhododendron_strigillosum,x,0,1,0.95,0.975
Rhododendron_rothschildii,x,0,1,0.97,0.985
Rhododendron_bachii,x,0,1,0.89,0.945
Rhododendron_tephropeplum,x,0,1,0.97,0.985
Rhododendron_ponticum,13,0,1,1,1
Rhododendron_ovatum,x,0,1,0.92,0.96
Rhododendron_nipponicum,x,0,0.95,0.76,0.855
Rhododendron_prunifolium,13,0,1,1,1
Rhododendron_campylocarpum,13,0,1,1,1
Rhododendron_latoucheae,13,0,1,1,1
Rhododendron_albiflorum,13,0,1,1,1
Rhododendron_pachysanthum,x,0,1,0.95,0.975
Rhododendron_obtusum,13,0,1,1,1
Rhododendron_cavaleriei,x,0,1,0.98,0.99
Rhododendron_ledebourii,x,0,1,0.98,0.99
Rhododendron_vellereum,x,0,1,0.94,0.97
Rhododendron_glischrum,x,0,1,0.96,0.98
Rhododendron_faucium,x,0,1,0.98,0.99
Rhododendron_thomsonii,13,0,1,1,1
Rhododendron_galactinum,x,0,1,1,1
Rhododendron_christi,x,0,1,0.97,0.985
Rhododendron_tosaense,x,0,1,0.95,0.975
Rhododendron_dielsianum,x,0,1,0.96,0.98
Rhododendron_habrotrichum,x,0,1,0.96,0.98
Rhododendron_aganniphum,x,0,1,0.97,0.985
Rhododendron_strigosum,x,0,1,0.96,0.98
Rhododendron_madulidii,x,0,1,0.98,0.99
Rhododendron_luteum,13,0,1,1,1
Rhododendron_lutescens,x,0,0.69,0.86,0.775
Rhododendron_kawakamii,x,0,0.86,0.81,0.835
Rhododendron_anthosphaerum,x,0,1,0.92,0.96
Rhododendron_saruwagedicum,x,0,1,0.97,0.985
Rhododendron_uvariifolium,x,0,0.98,0.97,0.975
Rhododendron_wadanum,x,0,1,0.89,0.945
Rhododendron_hancockii,13,0,1,1,1
Rhododendron_ericoides,x,0,0.82,0.98,0.9
Rhododendron_quinquefolium,x,0,1,0.96,0.98
Rhododendron_pauciflorum,x,0,1,0.94,0.97
Rhododendron_fastigiatum,13,0,1,0.99,0.995
Rhododendron_insigne,x,0,1,0.92,0.96
Rhododendron_lepidotum,13,0,1,0.99,0.995
Rhododendron_crassifolium,13,0,1,1,1
Rhododendron_meridionale,x,0,1,0.98,0.99
Rhododendron_dilatatum,x,0,1,0.9,0.95
Rhododendron_spiciferum,x,1,0.52,0.94,0.73
Rhododendron_meliphagidum,x,0,1,0.97,0.985
Rhododendron_simsii,13,0,1,0.98,0.99
Rhododendron_fallacinum,x,0,1,0.89,0.945
Rhododendron_caucasicum,13,0,1,1,1
Rhododendron_fulvum,x,0,1,0.97,0.985
Rhododendron_xanthostephanum,x,0,1,0.96,0.98
Rhododendron_semibarbatum,x,0,1,0.82,0.91
Rhododendron_bagobonum,13,0,1,1,1
Rhododendron_vernicosum,x,0,1,0.93,0.965
Rhododendron_veitchianum,x,0,0.63,0.95,0.79
Rhododendron_orbiculatum,13,0,1,1,1
Rhododendron_fulgens,13,0,1,1,1
Rhododendron_dauricum,13,0,1,0.99,0.995
Rhododendron_selense,x,0,1,0.98,0.99
Rhododendron_chilanshanense,x,0,1,0.93,0.965
Rhododendron_prinophyllum,13,0,1,1,1
Rhododendron_aequabile,13,0,1,1,1
Rhododendron_transiens,x,0,1,0.98,0.99
Rhododendron_eastmanii,x,0,1,1,1
Rhododendron_coryanum,x,0,1,0.94,0.97
Rhododendron_gracilentum,x,0,1,0.99,0.995
Rhododendron_delavayi,13,0,1,1,1
Rhododendron_suaveolens,x,0,1,0.96,0.98
Rhododendron_griersonianum,x,0,1,0.94,0.97
Rhododendron_emarginatum,x,0,0.86,0.81,0.835
Rhododendron_camtschaticum_var._glandulosum,12,0,1,1,1
Rhododendron_agastum,x,0,1,1,1
Rhododendron_pendulum,13,0,1,0.99,0.995
Rhododendron_kiusianum,13,0,1,1,1
Rhododendron_zaleucum,26,1,1,0.99,0.995
Rhododendron_saluenense_var._prostratum,26,1,0.95,0.99,0.97
Rhododendron_calostrotum_var._calciphilum,x,1,0.78,0.97,0.875
Rhododendron_denudatum,x,0,1,0.97,0.985
Rhododendron_calendulaceum,26,1,1,1,1
Rhododendron_hippophaeoides,x,0,0.56,0.97,0.765
Rhododendron_viriosum,x,0,1,0.98,0.99
Rhododendron_taronense,x,0,0.98,0.94,0.96
Rhododendron_quadrasianum,13,0,1,1,1
Rhododendron_keiskei,x,0,0.71,0.97,0.84
Rhododendron_radians,x,0,1,0.98,0.99
Rhododendron_luraluense,x,0,1,1,1
Rhododendron_haematodes,x,0,1,0.99,0.995
Rhododendron_mackenzianum,13,0,1,1,1
Rhododendron_williamsii,x,0,1,0.9,0.95
Rhododendron_anthopogon,13,0,1,0.99,0.995
Rhododendron_nakotiltum,x,0,1,0.95,0.975
Rhododendron_lagunculicarpum,x,0,1,0.88,0.94
Rhododendron_intranervatum,x,0,1,0.98,0.99
Rhododendron_rhodopus,x,0,1,0.92,0.96
Rhododendron_liliiflorum,x,0,1,0.95,0.975
Rhododendron_rubiginosum,26,1,0.98,0.99,0.985
Rhododendron_weyrichii,x,0,1,0.9,0.95
Rhododendron_venator,x,0,1,0.97,0.985
Rhododendron_hypoblematosum,x,0,1,0.87,0.935
Rhododendron_adamsii,13,0,1,0.99,0.995
Rhododendron_arboreum,12,0,1,1,1
Rhododendron_adenopodum,13,0,1,0.99,0.995
Rhododendron_periclymenoides,13,0,1,1,1
Rhododendron_reticulatum,x,0,1,0.89,0.945
Rhododendron_eymae,x,0,1,0.97,0.985
Rhododendron_diversipilosum,x,0,0.87,0.73,0.8
Rhododendron_subestipitatum,x,0,1,0.97,0.985
Rhododendron_leucogigas,x,0,1,0.95,0.975
Rhododendron_williamsianum,x,0,1,0.93,0.965
Rhododendron_dimitrum,x,0,0.47,0.96,0.715
Rhododendron_yelliottii,x,0,1,0.99,0.995
Rhododendron_westlandii,x,0,1,0.96,0.98
Rhododendron_cephalanthum,x,0,0.8,0.95,0.875
Rhododendron_leptothrium,13,0,1,1,1
Rhododendron_mekongense,x,0,1,0.93,0.965
Rhododendron_zollingeri,x,0,1,0.88,0.94
Rhododendron_yakuinsulare,x,0,1,0.95,0.975
Rhododendron_vitis_idaea,x,0,1,0.95,0.975
Rhododendron_semnoides,x,0,1,0.97,0.985
Rhododendron_santapaui,13,0,1,1,1
Rhododendron_makinoi,x,0,1,0.89,0.945
Rhododendron_stamineum,13,0,1,1,1
Rhododendron_indicum,13,0,1,1,1
Rhododendron_hongkongense,x,0,1,0.96,0.98
Rhododendron_sanguineum,x,0,0.99,0.97,0.98
Rhododendron_smirnowii,x,0,1,0.89,0.945
Rhododendron_boninense,x,0,1,0.98,0.99
Rhododendron_solitarium,x,0,1,0.96,0.98
Rhododendron_telmateium,26,1,0.99,0.99,0.99
Rhododendron_redowskianum,13,0,1,1,1
Rhododendron_macabeanum,13,0,1,1,1
Rhododendron_canadense,26,1,1,1,1
Rhododendron_eclecteum,x,0,1,0.96,0.98
Rhododendron_citrinum,x,0,1,0.92,0.96
Rhododendron_annae,x,0,1,0.98,0.99
Rhododendron_carringtoniae,x,0,1,0.97,0.985
Rhododendron_taliense,x,0,1,0.96,0.98
Rhododendron_heliolepis,39,1,1,0.99,0.995
Rhododendron_stapfianum,x,0,1,0.94,0.97
Rhododendron_ellipticum,x,0,1,0.95,0.975
Rhododendron_mariesii,x,0,1,0.89,0.945
Rhododendron_mengtszense,x,0,1,0.98,0.99
Rhododendron_longiperulatum,x,0,1,0.92,0.96
Rhododendron_araiophyllum,13,0,1,0.99,0.995
Rhododendron_yedoense,x,0,1,0.92,0.96
Rhododendron_excellens,x,0,1,0.95,0.975
Rhododendron_cerasinum,x,0,1,0.95,0.975
Rhododendron_asperulum,x,0,1,0.82,0.91
Rhododendron_viscistylum,x,0,1,0.91,0.955
Rhododendron_roxieanum_var._oreonastes,x,0,0.99,0.98,0.985
Rhododendron_hidakanum,x,0,1,0.9,0.95
Rhododendron_sinonuttallii,x,0,1,0.97,0.985
Rhododendron_lasiostylum,x,0,1,0.96,0.98
Rhododendron_tapetiforme,39,1,1,0.99,0.995
Rhododendron_simiarum,x,0,1,0.97,0.985
Rhododendron_osuzuyamense,x,0,1,0.89,0.945
Rhododendron_album,13,0,1,1,1
Rhododendron_sphaeroblastum,x,0,1,0.97,0.985
Rhododendron_sororium,x,0,0.98,0.82,0.9
Rhododendron_spinuliferum,x,1,0.5,0.94,0.72
Rhododendron_laetum,13,0,1,0.99,0.995
Rhododendron_yongii,x,0,1,0.98,0.99
Rhododendron_brookeanum,x,0,1,0.97,0.985
Rhododendron_bainbridgeanum,13,0,1,0.99,0.995
Rhododendron_atlanticum,13,0,1,1,1
Rhododendron_rex_subsp._fictolacteum,x,0,1,0.97,0.985
Rhododendron_baileyi,26,1,0.97,0.99,0.98
Rhododendron_zhangjiajieense,x,0,1,0.93,0.965
Rhododendron_poilanei,x,0,0.86,0.81,0.835
Rhododendron_hunanense,x,0,1,0.83,0.915
Rhododendron_aberconwayi,13,0,1,1,1
Rhododendron_subsessile,x,0,1,0.96,0.98
Rhododendron_moupinense,x,0,0.97,0.94,0.955
Rhododendron_lanatum,13,0,1,1,1
Rhododendron_kongboense,x,0,0.84,0.94,0.89
Rhododendron_amagianum,13,0,1,1,1
Rhododendron_feddei,x,0,1,0.94,0.97
Rhododendron_tsariense,x,0,1,0.98,0.99
Rhododendron_spanotrichum,x,0,1,0.96,0.98
Rhododendron_campanulatum,13,0,1,1,1
Rhododendron_vanvuurenii,x,0,1,0.89,0.945
Rhododendron_gaultheriifolium,13,0,1,1,1
Rhododendron_cumberlandense,13,0,1,1,1
Rhododendron_rhuyuenense,x,0,1,0.92,0.96
Rhododendron_cyanocarpum,x,0,0.98,0.92,0.95
Rhododendron_eriocarpum,x,0,1,0.95,0.975
Rhododendron_arizelum,13,0,1,1,1
Rhododendron_maddenii,39,1,1,0.99,0.995
Rhododendron_sanguineum_var._haemaleum,x,0,0.99,0.98,0.985
Rhododendron_hanceanum,x,0,0.99,0.86,0.925
Rhododendron_herzogii,13,0,1,1,1
Rhododendron_hirsutum,13,0,1,0.99,0.995
Rhododendron_molle,x,0,1,0.98,0.99
Rhododendron_crinigerum,x,0,1,0.95,0.975
Rhododendron_kanehirae,x,0,1,0.95,0.975
Rhododendron_lacteum,x,0,1,0.97,0.985
Rhododendron_yakumontanum,x,0,1,0.87,0.935
Rhododendron_loranthiflorum,13,0,1,1,1
Rhododendron_alabamense,13,0,1,1,1
Rhododendron_culminicolum,x,0,1,0.97,0.985
Rhododendron_ferrugineum,x,0,1,0.98,0.99
Rhododendron_mucronatum,x,0,1,0.99,0.995
Rhododendron_trichostomum,x,0,0.8,0.95,0.875
Rhododendron_argyrophyllum,13,0,1,0.99,0.995
Rhododendron_rivulare,x,0,1,0.9,0.95
Rhododendron_vanderbiltianum,13,0,1,0.99,0.995
Rhododendron_sinogrande,x,0,1,0.96,0.98
Rhododendron_pudorosum,x,0,1,0.99,0.995
Rhododendron_himantodes,13,0,1,1,1
Rhododendron_buxifolium,13,0,1,0.99,0.995
Rhododendron_wardii,x,0,1,0.97,0.985
Rhododendron_rubropilosum,x,0,1,0.95,0.975
Rhododendron_tutcherae,13,0,1,1,1
Rhododendron_macrosepalum,x,0,1,0.98,0.99
Rhododendron_salicifolium,x,0,1,0.93,0.965
Rhododendron_roxieanum,x,0,1,0.96,0.98
Rhododendron_lindleyi,x,0,1,0.95,0.975
Rhododendron_ungernii,x,0,1,0.91,0.955
Rhododendron_mucronulatum_subsp._sichotense,13,0,1,0.99,0.995
Rhododendron_mariae,x,0,1,0.87,0.935
Rhododendron_hyacinthosmum,x,0,1,0.96,0.98
Rhododendron_robinsonii,x,0,1,0.91,0.955
Rhododendron_saxifragoides,x,0,1,0.98,0.99
Rhododendron_pudorinum,x,0,1,0.93,0.965
Rhododendron_albrechtii,13,0,1,1,1
Rhododendron_stenopetalum,x,0,1,0.92,0.96
Rhododendron_catawbiense,13,0,1,1,1
Rhododendron_complexum,39,1,0.98,0.99,0.985
Rhododendron_campylogynum,x,0,1,0.94,0.97
Rhododendron_bureavii,x,0,1,0.98,0.99
Rhododendron_lanigerum,x,0,1,0.91,0.955
Rhododendron_pachypodum,x,0,1,0.98,0.99
Rhododendron_moulmainense,x,0,1,0.93,0.965
Rhododendron_noriakianum,x,0,1,0.95,0.975
Rhododendron_praevernum,x,0,1,0.93,0.965
Rhododendron_auriculatum,13,0,1,0.99,0.995
Rhododendron_catacosmum,x,0,0.85,0.96,0.905
Rhododendron_camtschaticum,12,0,1,1,1
Rhododendron_canescens,13,0,1,1,1
Rhododendron_austrinum,13,0,1,1,1
Rhododendron_vialii,13,0,1,1,1
Rhododendron_kiangsiense,x,0,1,0.96,0.98
Rhododendron_temenium,x,0,0.99,0.98,0.985
Rhododendron_pachyphyllum,x,0,1,0.94,0.97
Rhododendron_orbiculare,x,0,1,0.94,0.97
Rhododendron_javanicum,x,0,1,0.91,0.955
Rhododendron_rarum,x,0,1,0.97,0.985
Rhododendron_kawakamii_var._flaviflorum,x,0,1,0.93,0.965
Rhododendron_hypoleucum,x,0,0.88,0.76,0.82
Rhododendron_nyingchiense,x,0,0.8,0.96,0.88
Rhododendron_rubineiflorum,x,0,1,0.96,0.98
Rhododendron_calophytum,x,0,1,0.93,0.965
Rhododendron_burtii,x,0,1,0.97,0.985
Rhododendron_neriiflorum,x,0,1,0.98,0.99
Rhododendron_dichroanthum,x,0,0.85,0.97,0.91
Rhododendron_taiwanalpinum,x,0,1,0.92,0.96
Rhododendron_viscosum,13,0,1,1,1
Rhododendron_decorum,x,0,1,0.94,0.97
Rhododendron_alutaceum,x,0,1,0.97,0.985
Rhododendron_virgatum,13,0,1,0.98,0.99
Rhododendron_sinofalconeri,x,0,1,0.98,0.99
Rhododendron_lapponicum,13,0,1,0.99,0.995
Rhododendron_duclouxii,x,1,0.51,0.96,0.735
Rhododendron_superbum,x,0,1,0.95,0.975
Rhododendron_longifalcatum,x,0,1,0.95,0.975
Rhododendron_amanoi,x,0,1,0.92,0.96
Rhododendron_vaseyi,13,0,1,1,1
Rhododendron_maculiferum_subsp._anhweiense,x,0,0.72,0.92,0.82
Rhododendron_maculiferum,x,0,1,0.95,0.975
Rhododendron_calostrotum,13,0,1,0.99,0.995
Rhododendron_inconspicuum,13,0,1,1,1
Rhododendron_pulleanum,x,0,1,0.96,0.98
Rhododendron_racemosum,x,1,0.58,0.94,0.76
Rhododendron_sanctum,x,0,1,0.9,0.95
Rhododendron_oldhamii,x,0,1,0.94,0.97
Rhododendron_rarilepidotum,x,0,1,0.94,0.97
Rhododendron_zoelleri,x,0,1,0.95,0.975
Rhododendron_phaeochrysum,x,0,0.98,0.97,0.975
Rhododendron_occidentale,13,0,1,1,1
Rhododendron_floccigerum,x,0,1,1,1
Rhododendron_sargentianum,x,0,0.73,0.94,0.835
Rhododendron_phaeochrysum_var._agglutinatum,x,0,0.98,0.96,0.97
Rhododendron_mollicomum,x,1,0.58,0.93,0.755
Rhododendron_tashiroi,x,0,1,0.87,0.935
Rhododendron_stewartianum,x,0,0.99,0.94,0.965
Rhododendron_championiae,x,0,1,0.98,0.99
Rhododendron_traillianum,x,0,1,1,1
Rhododendron_goodenoughii,x,0,1,0.99,0.995
Rhododendron_macrophyllum,13,0,1,1,1
