Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Hypericum_synstylum,x,0,1,0.94,0.97
Hypericum_aethiopicum,x,0,0.84,0.9,0.87
Hypericum_hircinum,20,1,0.97,0.99,0.98
Hypericum_garciae,x,NA,0.62,0.85,0.735
Hypericum_scruglii,x,0,0.87,0.87,0.87
Hypericum_cymobrathys,x,NA,0.63,0.88,0.755
Hypericum_tortuosum,x,NA,0.87,0.53,0.7
Hypericum_papuanum,x,0,1,0.88,0.94
Hypericum_decandrum,x,NA,0.6,0.9,0.75
Hypericum_reptans,x,0,0.97,0.94,0.955
Hypericum_delphicum,x,0,1,0.94,0.97
Hypericum_kamtschaticum,8,0,1,1,1
Hypericum_perforatum,16,1,1,1,1
Hypericum_harlingii,x,NA,0.62,0.91,0.765
Hypericum_arbuscula,x,0,1,0.97,0.985
Hypericum_pubescens,9,0,1,0.99,0.995
Hypericum_pibairense,x,0,1,0.98,0.99
Hypericum_cuatrecasii,x,NA,0.62,0.94,0.78
Hypericum_amblyocalyx,9,0,1,1,1
Hypericum_sphaerocarpum,x,0,1,0.94,0.97
Hypericum_yezoense,8,0,1,1,1
Hypericum_helianthemoides,14,1,1,1,1
Hypericum_przewalskii,x,0,1,0.87,0.935
Hypericum_gnidioides,x,0,0.96,0.92,0.94
Hypericum_revolutum_subsp._keniense,12,1,0.97,1,0.985
Hypericum_myrtifolium,9,0,1,0.99,0.995
Hypericum_geminiflorum,x,0,1,0.89,0.945
Hypericum_seniawinii,x,0,1,0.98,0.99
Hypericum_pulchrum,9,0,1,1,1
Hypericum_kinashianum,x,0,1,0.94,0.97
Hypericum_nakaii,8,0,1,1,1
Hypericum_richeri_subsp._grisebachii,x,0,1,0.99,0.995
Hypericum_montanum,8,0,1,1,1
Hypericum_thesiifolium,x,0,1,0.98,0.99
Hypericum_olympicum,9,0,1,1,1
Hypericum_goyanesii,x,NA,0.6,0.92,0.76
Hypericum_concinnum,8,0,1,1,1
Hypericum_apocynifolium,x,0,1,0.98,0.99
Hypericum_brachyphyllum,9,0,1,0.99,0.995
Hypericum_adenotrichum,x,0,1,0.93,0.965
Hypericum_polyanthemum,x,NA,0.74,0.76,0.75
Hypericum_henryi_subsp._uraloides,x,0,0.7,0.99,0.845
Hypericum_Amitchellianum,x,0,1,0.99,0.995
Hypericum_fosteri,x,0,1,0.98,0.99
Hypericum_nitidum,x,0,1,0.98,0.99
Hypericum_athoum,x,0,1,0.96,0.98
Hypericum_mutilum_subsp._boreale,x,0,1,0.96,0.98
Hypericum_callacallanum,x,NA,0.62,0.91,0.765
Hypericum_triquetrifolium,8,0,1,1,1
Hypericum_llanganaticum,x,1,0.5,0.93,0.715
Hypericum_kiboense,x,0,0.91,0.95,0.93
Hypericum_somaliense,x,0,1,0.94,0.97
Hypericum_humboldtianum,x,NA,0.62,0.87,0.745
Hypericum_davisii,x,0,0.96,0.98,0.97
Hypericum_aciculare,x,1,0.5,0.93,0.715
Hypericum_empetrifolium,9,0,1,1,1
Hypericum_nummularioides,x,0,0.97,0.87,0.92
Hypericum_rumeliacum,7,0,1,1,1
Hypericum_roeperianum,x,0,1,0.95,0.975
Hypericum_myricariifolium,x,NA,0.6,0.94,0.77
Hypericum_frondosum,9,0,1,1,1
Hypericum_callithyrsum,x,1,0.61,0.87,0.74
Hypericum_taygeteum,x,0,1,0.94,0.97
Hypericum_nummularium,9,0,1,1,1
Hypericum_naudinianum,x,0,1,0.95,0.975
Hypericum_philonotis,8,0,1,1,1
Hypericum_marginatum,x,0,0.97,0.87,0.92
Hypericum_bryoides,x,0,0.57,0.81,0.69
Hypericum_ellipticum,9,0,1,1,1
Hypericum_virgatum,x,NA,0.6,0.81,0.705
Hypericum_aethiopicum_subsp._sonderi,x,0,0.84,0.87,0.855
Hypericum_quitense,x,0,0.99,0.96,0.975
Hypericum_juniperinum,x,1,0.49,0.94,0.715
