Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Oxalis_dregei,x,NA,0.95,0.85,0.9
Oxalis_palmifrons,x,1,0.52,0.88,0.7
Oxalis_orthopoda,x,1,0.52,0.89,0.705
Oxalis_orbicularis,x,1,0.58,0.83,0.705
Oxalis_squarrosa,x,1,0.95,0.88,0.915
Oxalis_gracilipes,x,NA,0.54,0.9,0.72
Oxalis_bulbocastanum,x,1,0.68,0.89,0.785
Oxalis_refracta,5,0,1,0.98,0.99
Oxalis_linarantha,x,1,0.96,0.95,0.955
Oxalis_saltusbelli,x,NA,0.7,0.82,0.76
Oxalis_meisneri,x,0,0.54,0.9,0.72
Oxalis_densa,x,1,0.91,0.82,0.865
Oxalis_natans,x,0,0.94,0.88,0.91
Oxalis_crispula,x,1,1,0.93,0.965
Oxalis_leptogramma,x,1,0.54,0.86,0.7
Oxalis_flava,x,NA,0.99,0.83,0.91
Oxalis_engleriana,x,NA,0.97,0.8,0.885
Oxalis_foveolata,x,1,0.92,0.9,0.91
Oxalis_inconspicua,x,NA,0.72,0.87,0.795
Oxalis_strigosa,x,1,0.52,0.88,0.7
Oxalis_loricata,x,1,1,0.85,0.925
Oxalis_blastorrhiza,x,NA,0.52,0.92,0.72
Oxalis_longissima,x,1,0.57,0.96,0.765
Oxalis_oreophila,x,NA,0.79,0.87,0.83
Oxalis_hernandezii,7,0,1,0.98,0.99
Oxalis_argillacea,x,NA,0.82,0.91,0.865
Oxalis_burkei,x,NA,0.8,0.88,0.84
Oxalis_stokoei,x,NA,0.97,0.84,0.905
Oxalis_atacamensis,x,1,0.63,0.94,0.785
Oxalis_spiralis,8,1,0.54,0.97,0.755
Oxalis_alstonii,5,0,1,0.98,0.99
Oxalis_articulata_f._crassipes,x,0,0.84,0.91,0.875
Oxalis_decaphylla,14,1,1,0.99,0.995
Oxalis_caesia,x,1,1,0.49,0.745
Oxalis_dines,8,0,1,0.96,0.98
Oxalis_fibrosa,x,NA,0.93,0.84,0.885
Oxalis_conorrhiza,12,1,1,0.98,0.99
Oxalis_reclinata,x,0,0.85,0.94,0.895
Oxalis_frutescens,6,0,1,0.98,0.99
Oxalis_comptonii,x,NA,0.99,0.87,0.93
Oxalis_uliginosa,8,0,1,0.97,0.985
Oxalis_bisfracta,18,1,1,0.98,0.99
Oxalis_stictocheila,x,NA,0.54,0.9,0.72
Oxalis_louisae,x,NA,0.77,0.92,0.845
Oxalis_ciliaris,20,1,1,0.97,0.985
Oxalis_pusilla,x,0,0.99,0.92,0.955
Oxalis_penicillata,x,1,0.75,0.92,0.835
Oxalis_campylorrhiza,x,1,0.73,0.84,0.785
Oxalis_glaucescens,x,NA,0.62,0.85,0.735
Oxalis_urbaniana,x,0,0.78,0.86,0.82
Oxalis_campicola,x,NA,0.76,0.89,0.825
Oxalis_primavera,21,1,1,0.98,0.99
Oxalis_melilotoides,9,1,0.54,0.97,0.755
Oxalis_magellanica,10,1,1,0.96,0.98
Oxalis_enneaphylla,14,1,1,0.97,0.985
Oxalis_purpurea,21,1,1,0.97,0.985
Oxalis_holosericea,x,1,1,0.87,0.935
Oxalis_bifrons,x,0,1,0.97,0.985
Oxalis_xantha,x,NA,0.79,0.87,0.83
Oxalis_purpurata,x,1,0.72,0.83,0.775
Oxalis_zeyheri,x,NA,0.97,0.85,0.91
Oxalis_sellowiana,7,0,1,0.98,0.99
Oxalis_serpens,x,1,1,0.97,0.985
Oxalis_latifolia,13,1,1,0.98,0.99
Oxalis_laxa,x,1,0.78,0.93,0.855
Oxalis_mollissima,8,1,0.54,0.97,0.755
Oxalis_suavis,x,NA,0.82,0.9,0.86
Oxalis_kamiesbergensis,x,0,0.74,0.91,0.825
Oxalis_commutata,x,1,0.62,0.8,0.71
Oxalis_hirta,15,1,1,0.97,0.985
Oxalis_duriuscula,x,NA,0.64,0.84,0.74
Oxalis_porphyriosiphon,x,NA,0.82,0.87,0.845
Oxalis_calachaccensis,x,1,1,0.97,0.985
Oxalis_psilopoda,x,1,0.86,0.95,0.905
Oxalis_tenuipes,x,NA,1,0.92,0.96
Oxalis_tenuifolia,x,0,0.94,0.88,0.91
Oxalis_alpina,7,0,1,0.98,0.99
Oxalis_capillacea,x,1,0.54,0.85,0.695
Oxalis_gigantea,9,1,0.56,0.96,0.76
Oxalis_dentata,7,0,1,0.98,0.99
Oxalis_suteroides,x,NA,0.92,0.84,0.88
Oxalis_pillansiana,x,NA,0.82,0.9,0.86
Oxalis_knuthiana,x,1,0.51,0.83,0.67
Oxalis_burtoniae,x,0,0.75,0.89,0.82
Oxalis_lomana,x,1,0.68,0.89,0.785
