Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Centaurea_stoebe,9,0,1,0.99,0.995
Centaurea_lydia,20,1,0.94,0.99,0.965
Centaurea_pulchella,9,0,1,0.98,0.99
Centaurea_cordubensis,18,1,1,0.99,0.995
Centaurea_nana,10,0,1,0.98,0.99
Centaurea_macrocephala,9,0,1,0.99,0.995
Centaurea_grbavacensis,11,0,1,0.98,0.99
Centaurea_avilae,9,0,1,0.98,0.99
Centaurea_aucheri,9,0,1,1,1
Centaurea_brulla,x,0,0.99,0.97,0.98
Centaurea_pomeliana_subsp._rouxiana,x,0,0.85,0.97,0.91
Centaurea_pentadactyli,x,0,0.93,0.97,0.95
Centaurea_paniculata,9,0,1,0.99,0.995
Centaurea_deusta,9,0,1,0.99,0.995
Centaurea_deustiformis,8,0,1,0.99,0.995
Centaurea_arrigonii,x,0,1,0.99,0.995
Centaurea_pterocaula,9,0,1,1,1
Centaurea_aplolepa_subsp._carueliana,9,0,1,0.99,0.995
Centaurea_achaia,11,0,1,0.97,0.985
Centaurea_protogerberi,9,0,1,1,1
Centaurea_pawlowskii,9,0,1,0.99,0.995
Centaurea_friderici,13,1,0.96,0.99,0.975
Centaurea_resupinata_subsp._prostrata,9,0,1,0.99,0.995
Centaurea_pumilio,11,0,1,1,1
Centaurea_cuneifolia,9,0,1,0.99,0.995
Centaurea_paui,9,0,1,1,1
Centaurea_pubescens,10,0,1,0.98,0.99
Centaurea_donetzica,18,1,1,0.99,0.995
Centaurea_podospermifolia,20,1,1,0.98,0.99
Centaurea_leptophylla,x,0,0.99,0.97,0.98
Centaurea_crithmifolia,18,1,1,0.99,0.995
Centaurea_mariana,10,0,1,0.98,0.99
Centaurea_panormitana,x,0,0.95,0.92,0.935
Centaurea_monticola,9,0,1,0.99,0.995
Centaurea_solstitialis,8,0,1,0.99,0.995
Centaurea_ilvensis,x,0,1,0.98,0.99
Centaurea_triumfettii,11,0,1,0.99,0.995
Centaurea_glastifolia,18,1,1,1,1
Centaurea_finazzeri,10,0,1,0.98,0.99
Centaurea_cheirolepidoides,18,1,1,1,1
Centaurea_pullata,11,0,1,0.99,0.995
Centaurea_odyssei,9,0,1,1,1
Centaurea_cariensis_subsp._niveotomentosa,9,0,1,1,1
Centaurea_albonitens,9,0,1,1,1
Centaurea_alba,9,0,1,0.98,0.99
Centaurea_pseudoscabiosa_subsp._glehnii,9,0,1,0.98,0.99
Centaurea_nobilis,9,0,1,0.99,0.995
Centaurea_pseudoscabiosa,x,0,0.91,0.97,0.94
Centaurea_sclerolepis,9,0,1,1,1
Centaurea_pallescens,10,0,1,1,1
Centaurea_alba_subsp._costae,9,0,1,0.99,0.995
Centaurea_wiedemanniana,x,0,1,0.99,0.995
Centaurea_amblensis,20,1,0.97,0.98,0.975
Centaurea_aziziana,9,0,1,0.99,0.995
Centaurea_inermis,11,0,0.99,0.99,0.99
