Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Mimosa_echinocaula,x,0,0.94,0.84,0.89
Mimosa_zygophylla,x,1,1,0.69,0.845
Mimosa_adenocarpa,x,0,1,0.81,0.905
Mimosa_himalayana,13,0,1,0.95,0.975
Mimosa_gemmulata,x,0,1,0.94,0.97
Mimosa_hirsutissima_var._barbigera,13,0,1,0.93,0.965
Mimosa_casta,x,0,1,0.84,0.92
Mimosa_tejupilcana,x,1,1,0.88,0.94
Mimosa_dolens,x,1,0.46,0.79,0.625
Mimosa_strigillosa,x,0,0.89,0.72,0.805
Mimosa_sericantha,x,0,1,0.95,0.975
Mimosa_guaranitica,x,NA,0.99,0.55,0.77
Mimosa_invisa,x,NA,0.87,0.7,0.785
Mimosa_hamata,13,0,1,0.95,0.975
Mimosa_camporum,x,0,1,0.78,0.89
Mimosa_melanocarpa,x,0,1,0.89,0.945
Mimosa_gatesiae,x,0,0.95,0.78,0.865
Mimosa_misera,x,NA,0.99,0.57,0.78
Mimosa_ramboi,x,1,0.46,0.77,0.615
Mimosa_pithecolobioides,x,1,1,0.53,0.765
Mimosa_pedersenii,x,1,0.46,0.79,0.625
Mimosa_virgula,x,0,1,0.84,0.92
Mimosa_setosissima,x,0,1,0.9,0.95
Mimosa_manidea,x,0,1,0.89,0.945
Mimosa_caduca,x,1,1,0.59,0.795
Mimosa_nuda,x,1,0.98,0.91,0.945
Mimosa_lamolina,x,0,1,0.91,0.955
Mimosa_tricephala_var._nelsonii,x,0,0.91,0.82,0.865
Mimosa_crumenarioides,x,0,0.93,0.8,0.865
Mimosa_volubilis,x,0,1,0.81,0.905
Mimosa_ulbrichiana,x,NA,0.99,0.56,0.775
Mimosa_polycephala,x,0,1,0.87,0.935
Mimosa_polyancistra,x,1,1,0.87,0.935
Mimosa_neptunioides,x,0,1,0.82,0.91
Mimosa_apodocarpa,x,0,1,0.86,0.93
Mimosa_boliviana,x,0,1,0.79,0.895
Mimosa_splendida,x,0,1,0.9,0.95
Mimosa_jaenensis,x,1,1,0.6,0.8
Mimosa_leptocarpa,x,1,1,0.65,0.825
Mimosa_cordistipula,x,NA,0.99,0.53,0.76
Mimosa_viperina,x,0,1,0.91,0.955
Mimosa_incarum,x,0,1,0.91,0.955
Mimosa_kalunga,x,0,1,0.88,0.94
Mimosa_flagellaris,13,0,1,0.93,0.965
Mimosa_benthamii,x,1,1,0.89,0.945
Mimosa_stylosa,x,0,1,0.88,0.94
Mimosa_townsendii,x,1,1,0.62,0.81
Mimosa_morroensis,x,NA,0.99,0.54,0.765
Mimosa_adenophylla,x,0,1,0.95,0.975
Mimosa_pigra_var._dehiscens,x,0,0.89,0.73,0.81
Mimosa_spirocarpa,x,1,1,0.92,0.96
Mimosa_psilocarpa,x,0,0.91,0.85,0.88
Mimosa_pilulifera_var._pseudincana,x,1,0.78,0.85,0.815
Mimosa_hirsutissima,13,0,1,0.93,0.965
Mimosa_densa,13,0,1,0.93,0.965
Mimosa_minutifolia,x,1,1,0.91,0.955
Mimosa_chartostegia,x,1,0.46,0.8,0.63
Mimosa_nothacacia,x,1,1,0.61,0.805
Mimosa_goldmanii,x,0,0.91,0.84,0.875
Mimosa_farinosa,x,0,1,0.83,0.915
Mimosa_schomburgkii,x,0,1,0.91,0.955
Mimosa_lepidota,x,0,1,0.91,0.955
Mimosa_guilandinae,x,1,1,0.51,0.755
Mimosa_ctenodes,x,0,1,0.9,0.95
Mimosa_quadrivalvis_var._leptocarpa,26,1,1,0.96,0.98
Mimosa_torresiae,x,1,1,0.59,0.795
Mimosa_pilulifera,x,1,0.75,0.87,0.81
Mimosa_parviceps,x,1,0.75,0.83,0.79
Mimosa_mollis,x,1,1,0.93,0.965
Mimosa_ceratonia,x,0,0.85,0.73,0.79
Mimosa_xavantinae,x,0,1,0.84,0.92
Mimosa_pseudoradula,x,0,1,0.85,0.925
Mimosa_waterlotii,x,0,1,0.81,0.905
Mimosa_debilis,26,1,1,0.93,0.965
Mimosa_dutrae,x,1,0.46,0.78,0.62
Mimosa_speciosissima,x,0,1,0.88,0.94
Mimosa_pseudosetosa,x,0,1,0.88,0.94
Mimosa_quadrivalvis,x,1,0.99,0.83,0.91
Mimosa_verecunda,x,0,0.98,0.75,0.865
