Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Senecio_elegans,10,0,1,1,1
Senecio_brasiliensis,20,1,1,1,1
Senecio_carnosulus,40,1,1,0.99,0.995
Senecio_dregeanus,x,NA,0.67,0.52,0.595
Senecio_wairauensis,20,1,1,1,1
Senecio_lautus,20,1,1,0.99,0.995
Senecio_dunedinensis,20,1,1,1,1
Senecio_glaberrimus,x,1,0.39,0.86,0.625
Senecio_fistulosus,x,1,1,1,1
Senecio_prenanthoides,x,1,1,0.97,0.985
Senecio_volckmannii,40,1,1,0.99,0.995
Senecio_petraeus,10,0,1,1,1
Senecio_teneriffae,30,1,1,1,1
Senecio_lugens,20,1,1,1,1
Senecio_kerdousianus,x,1,0.92,0.97,0.945
Senecio_cisplatinus,x,1,1,0.98,0.99
Senecio_hispidissimus,x,1,0.98,0.96,0.97
Senecio_callosus,20,1,1,1,1
Senecio_bulbinifolius,x,1,0.53,0.87,0.7
Senecio_retrorsus,x,1,0.39,0.87,0.63
Senecio_sempervivus,x,NA,0.94,0.65,0.795
Senecio_linifolius,20,1,1,1,1
Senecio_bombycopholis,x,1,0.71,0.64,0.675
Senecio_duriaei,20,1,1,1,1
Senecio_costaricensis,10,0,1,1,1
Senecio_incrassatus,x,0,1,0.92,0.96
Senecio_abruptus,x,1,0.48,0.67,0.575
Senecio_gnidioides,x,1,1,0.87,0.935
Senecio_gregorii,20,1,1,1,1
Senecio_glomeratus,30,1,0.99,1,0.995
Senecio_sterquilinus,20,1,1,0.99,0.995
Senecio_lineatus,x,1,0.55,0.62,0.585
Senecio_squarrosus,30,1,0.99,1,0.995
Senecio_squalidus_subsp._aethnensis,10,0,1,1,1
Senecio_krascheninnikovii,10,0,1,1,1
Senecio_oreophyton,x,1,1,0.98,0.99
Senecio_espinosae,x,1,0.72,0.99,0.855
Senecio_scaberulus,30,1,0.99,1,0.995
Senecio_spartioides,20,1,1,1,1
Senecio_viridis,x,1,0.82,0.69,0.755
Senecio_aphanactis,20,1,1,1,1
Senecio_trifurcatus,20,1,1,1,1
Senecio_aloides,x,0,0.98,0.94,0.96
Senecio_serra,20,1,1,1,1
Senecio_muirii,x,1,0.86,0.89,0.875
Senecio_hollandii,x,1,0.55,0.66,0.605
Senecio_eenii,x,0,1,0.88,0.94
Senecio_australis,40,1,1,1,1
Senecio_kolenatianus,20,1,1,1,1
Senecio_vulgaris_subsp._denticulatus,20,1,1,1,1
Senecio_maulinus,x,1,1,0.95,0.975
Senecio_ilicifolius,x,1,0.64,0.81,0.725
Senecio_donianus,x,1,1,0.9,0.95
Senecio_flaccidus,20,1,1,1,1
Senecio_bellidifolius,20,1,1,1,1
Senecio_gramineus,x,NA,0.65,0.52,0.585
Senecio_macroglossus,x,NA,0.55,0.78,0.665
Senecio_cordifolius,20,1,1,1,1
Senecio_rufiglandulosus,20,1,1,1,1
Senecio_banksii,30,1,0.99,1,0.995
Senecio_glutinosus,10,0,1,1,1
Senecio_flavus,10,0,1,1,1
Senecio_bahioides,x,1,1,0.84,0.92
Senecio_umbrosus,20,1,1,1,1
Senecio_glaucus,10,0,1,1,1
Senecio_ovatus,20,1,1,1,1
Senecio_scopolii,x,1,1,0.97,0.985
Senecio_tropaeolifolius,x,1,0.96,0.94,0.95
Senecio_squalidus_subsp._araneosus,10,0,1,1,1
Senecio_quadridentatus,20,1,1,1,1
Senecio_leucanthemifolius_subsp._vernalis,10,0,1,1,1
