Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Begonia_mindorensis,x,0,0.66,0.87,0.765
Begonia_inostegia,x,0,0.63,0.82,0.725
Begonia_fissistyla,x,0,0.61,0.84,0.725
Begonia_manillensis,x,0,0.67,0.79,0.73
Begonia_josephi,x,0,0.49,0.66,0.575
Begonia_incarnata,15,0,0.67,0.89,0.78
Begonia_nobmanniae,x,NA,0.36,0.83,0.595
Begonia_manicata,14,0,0.67,0.93,0.8
Begonia_pengii,x,0,0.67,0.81,0.74
Begonia_bogneri,19,1,1,0.91,0.955
Begonia_aspleniifolia,x,1,0.82,0.7,0.76
Begonia_dipetala,14,0,0.67,0.91,0.79
Begonia_sudjanae,x,0,0.67,0.8,0.735
Begonia_dioica,x,NA,0.41,0.73,0.57
Begonia_lagunensis,x,NA,0.51,0.86,0.685
Begonia_lasioura,x,0,0.63,0.78,0.705
Begonia_salaziensis,x,1,1,0.77,0.885
Begonia_scapigera,x,1,0.77,0.76,0.765
Begonia_formosana,30,1,1,0.88,0.94
Begonia_foliosa,25,1,0.93,0.88,0.905
Begonia_yappii,x,0,0.67,0.78,0.725
Begonia_sericoneura,14,0,0.67,0.93,0.8
Begonia_iucunda,x,1,0.91,0.52,0.715
Begonia_peltatifolia,x,NA,0.6,0.68,0.64
Begonia_cubensis,18,1,1,0.92,0.96
Begonia_crispipila,x,NA,0.48,0.84,0.66
Begonia_herbacea,28,1,1,0.88,0.94
Begonia_duncan_thomasii,x,1,0.77,0.81,0.79
Begonia_aceroides,x,NA,0.59,0.69,0.64
Begonia_panayensis,x,NA,0.43,0.86,0.645
Begonia_ningmingensis,15,0,0.67,0.9,0.785
Begonia_masarangensis,x,0,0.42,0.78,0.6
Begonia_auritistipula,x,0,0.67,0.87,0.77
Begonia_pulvinifera,x,0,0.67,0.84,0.755
Begonia_komoensis,x,1,1,0.87,0.935
Begonia_olbia,28,1,1,0.89,0.945
Begonia_tenuifolia,11,0,0.67,0.94,0.805
Begonia_subalpestris,x,1,1,0.77,0.885
Begonia_annobonensis,x,0,0.49,0.74,0.615
Begonia_brevipes,x,NA,0.48,0.82,0.65
Begonia_minor,39,1,1,0.9,0.95
Begonia_valida,19,1,1,0.93,0.965
Begonia_socotrana,14,0,0.67,0.88,0.775
Begonia_retinervia,15,0,0.67,0.89,0.78
Begonia_robusta,x,0,0.67,0.83,0.75
Begonia_deliciosa,11,0,0.67,0.88,0.775
Begonia_poculifera,19,1,0.96,0.91,0.935
Begonia_loranthoides,19,1,0.96,0.92,0.94
Begonia_watuwilensis,x,0,0.65,0.85,0.75
Begonia_wrayi,x,0,0.63,0.75,0.69
Begonia_decora,11,0,0.67,0.89,0.78
Begonia_radicans,28,1,1,0.91,0.955
Begonia_sonderiana,x,0,0.67,0.86,0.765
Begonia_daweishanensis,x,0,0.66,0.86,0.76
Begonia_bissei,x,1,0.99,0.88,0.935
Begonia_lambii,x,0,0.61,0.82,0.715
Begonia_hirsutula,x,1,0.75,0.8,0.775
Begonia_suborbiculata,x,0,0.67,0.8,0.735
Begonia_echinosepala,15,0,0.67,0.92,0.795
Begonia_quadrialata,x,1,0.63,0.78,0.705
Begonia_halconensis,x,NA,0.38,0.84,0.61
Begonia_fenicis,13,0,0.67,0.9,0.785
Begonia_ankaranensis,x,1,1,0.77,0.885
Begonia_anisoptera,x,0,0.67,0.79,0.73
Begonia_Ataipeiensis,x,1,0.44,0.8,0.62
Begonia_rufipila,x,0,0.67,0.79,0.73
Begonia_rajah,15,0,0.67,0.88,0.775
Begonia_cylindrica,x,0,0.67,0.79,0.73
Begonia_wenshanensis,x,0,0.68,0.87,0.775
Begonia_gracilis,14,0,0.67,0.88,0.775
Begonia_edmundoi,x,1,0.65,0.8,0.725
Begonia_acuminatissima,x,0,0.67,0.78,0.725
Begonia_nigritarum,x,0,0.67,0.87,0.77
Begonia_ravenii,18,1,1,0.89,0.945
Begonia_venusta,13,0,0.67,0.88,0.775
Begonia_fangii,15,0,0.66,0.88,0.77
Begonia_hispidissima,x,0,0.41,0.81,0.61
Begonia_heracleifolia,12,0,0.67,0.91,0.79
Begonia_rufa,x,1,0.71,0.9,0.805
Begonia_oxyanthera,18,1,0.96,0.91,0.935
Begonia_hainanensis,x,0,0.67,0.82,0.745
Begonia_forbesii,x,0,0.67,0.84,0.755
Begonia_fuchsioides,12,0,0.67,0.89,0.78
Begonia_hatacoa,11,0,0.67,0.91,0.79
Begonia_madaiensis,x,0,0.65,0.79,0.72
Begonia_isalensis,x,1,1,0.77,0.885
Begonia_corrugata,x,0,0.62,0.79,0.705
Begonia_lepida,x,0,0.36,0.85,0.605
Begonia_parvula,14,0,0.67,0.9,0.785
Begonia_areolata,x,0,0.67,0.85,0.76
Begonia_biflora,x,0,0.67,0.86,0.765
Begonia_rubrifolia,x,0,0.66,0.8,0.73
Begonia_holtonis,x,0,0.67,0.84,0.755
Begonia_bonus_henricus,x,1,1,0.88,0.94
Begonia_scutifolia,x,1,0.64,0.8,0.72
Begonia_francoisii,x,1,1,0.74,0.87
Begonia_sanguineopilosa,x,0,0.53,0.85,0.69
Begonia_hernandioides,x,0,0.67,0.88,0.775
Begonia_dryadis,11,0,0.67,0.89,0.78
Begonia_demissa,x,NA,0.6,0.71,0.655
Begonia_glabra,19,1,0.93,0.93,0.93
Begonia_flagellaris,x,0,0.49,0.67,0.58
Begonia_fimbristipula,11,0,0.67,0.92,0.795
Begonia_discreta,x,NA,0.59,0.71,0.65
Begonia_panchtharensis,x,0,0.67,0.86,0.765
Begonia_nuwakotensis,x,0,0.67,0.84,0.755
Begonia_negrosensis,x,NA,0.48,0.84,0.66
