Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Ranunculus_amblyolobus,x,0,0.74,0.94,0.84
Ranunculus_aduncus,8,0,1,1,1
Ranunculus_notabilis,8,0,1,1,1
Ranunculus_submarginatus,x,0,1,0.98,0.99
Ranunculus_penicillatus,16,1,1,1,1
Ranunculus_bequaertii,x,1,0.93,0.82,0.875
Ranunculus_cantoniensis,8,0,1,1,1
Ranunculus_pimpinellifolius,8,0,1,1,1
Ranunculus_kotschyi,x,0,0.78,0.96,0.87
Ranunculus_damascenus,16,1,1,1,1
Ranunculus_plebeius,x,0,0.73,0.96,0.845
Ranunculus_baldshuanicus,7,0,1,1,1
Ranunculus_crithmifolius,24,1,1,1,1
Ranunculus_cryptanthus,x,1,1,0.89,0.945
Ranunculus_macauleyi,8,0,1,1,1
Ranunculus_melzeri,x,1,0.42,0.98,0.7
Ranunculus_acetosellifolius,8,0,1,1,1
Ranunculus_occidentalis,14,1,1,1,1
Ranunculus_pilisiensis,x,0,0.56,0.98,0.77
Ranunculus_volkensii,40,1,1,1,1
Ranunculus_pulchellus,20,1,1,1,1
Ranunculus_pannonicus,12,1,1,1,1
Ranunculus_occidentalis_var._brevistylus,14,1,1,1,1
Ranunculus_acaulis,24,1,1,1,1
Ranunculus_regelianus,x,1,0.98,0.81,0.895
Ranunculus_grandifolius,14,1,1,1,1
Ranunculus_Aperedae,x,0,1,0.97,0.985
Ranunculus_hawaiensis,x,1,0.99,0.91,0.95
Ranunculus_sceleratus_subsp._reptabundus,16,1,1,1,1
Ranunculus_brevifolius,8,0,1,1,1
Ranunculus_hispidus,16,1,1,1,1
Ranunculus_pseudotrullifolius,x,1,1,0.75,0.875
Ranunculus_canus,x,NA,0.64,0.93,0.785
Ranunculus_rufosepalus,x,NA,0.59,0.88,0.735
Ranunculus_fluitans,8,0,1,1,1
Ranunculus_basilobatus,x,NA,0.82,0.91,0.865
Ranunculus_trigonus,8,0,1,1,1
Ranunculus_sabinei,16,1,1,1,1
Ranunculus_illyricus,16,1,1,1,1
Ranunculus_constantinopolitanus,16,1,0.98,1,0.99
Ranunculus_peltatus_subsp._baudotii,16,1,1,1,1
Ranunculus_minutiflorus,16,1,1,1,1
Ranunculus_thora,8,0,1,1,1
Ranunculus_recurvatus,16,1,1,1,1
Ranunculus_pachyrrhizus,24,1,1,1,1
Ranunculus_bulbosus,8,0,1,1,1
Ranunculus_acris_subsp._pumilus,8,0,1,1,1
Ranunculus_caucasicus,8,0,1,1,1
Ranunculus_apiifolius,24,1,1,1,1
Ranunculus_sericocephalus,x,1,1,0.99,0.995
Ranunculus_gelidus,8,0,1,1,1
Ranunculus_fuegianus,24,1,1,1,1
Ranunculus_buchananii,24,1,1,1,1
Ranunculus_aberdaricus,32,1,1,1,1
Ranunculus_anemoneus,x,1,1,0.9,0.95
Ranunculus_polyphyllus,x,1,0.96,0.89,0.925
