Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Passiflora_alnifolia,x,0,1,0.86,0.93
Passiflora_mucronata,9,1,1,0.99,0.995
Passiflora_quadrangularis,9,1,1,0.99,0.995
Passiflora_henryi,x,NA,0.73,0.81,0.77
Passiflora_cincinnata,9,1,1,1,1
Passiflora_ichthyura,x,0,1,0.91,0.955
Passiflora_coactilis,6,0,0.73,0.99,0.86
Passiflora_sanctaebarbarae,x,0,0.73,0.91,0.82
Passiflora_sicyoides,x,0,0.99,0.88,0.935
Passiflora_clathrata,x,1,0.99,0.96,0.975
Passiflora_rhamnifolia,x,1,1,0.97,0.985
Passiflora_fimbriatistipula,x,0,0.73,0.88,0.805
Passiflora_umbilicata,x,1,1,0.91,0.955
Passiflora_maliformis,9,1,1,0.99,0.995
Passiflora_leptomischa,x,0,0.73,0.97,0.85
Passiflora_wilsonii,x,NA,0.73,0.83,0.78
Passiflora_candida,x,1,1,0.84,0.92
Passiflora_cubensis,x,0,0.58,0.84,0.71
Passiflora_gardneri,x,1,1,0.93,0.965
Passiflora_citrina,6,0,1,0.99,0.995
Passiflora_gracilis,9,1,1,0.99,0.995
Passiflora_kermesina,9,1,1,0.99,0.995
Passiflora_actinia,9,1,1,0.99,0.995
Passiflora_telesiphe,x,0,1,0.91,0.955
Passiflora_sodiroi,x,NA,0.62,0.82,0.72
Passiflora_pavonis,x,1,0.57,0.82,0.695
Passiflora_mansoi,x,1,1,0.84,0.92
Passiflora_bryonioides,6,0,1,0.99,0.995
Passiflora_xiikzodz,6,0,1,0.99,0.995
Passiflora_nitida,9,1,1,0.99,0.995
Passiflora_tatei,x,0,1,0.92,0.96
Passiflora_porphyretica,6,0,1,0.99,0.995
Passiflora_lindeniana,12,1,1,0.99,0.995
Passiflora_gracilens,x,1,0.4,0.95,0.675
Passiflora_monadelpha,x,NA,0.6,0.82,0.71
Passiflora_formosa,x,1,0.85,0.95,0.9
Passiflora_auriculata,x,NA,0.62,0.79,0.705
Passiflora_standleyi,6,0,1,0.99,0.995
Passiflora_apoda,x,NA,0.6,0.83,0.715
Passiflora_galbana,9,1,1,0.99,0.995
Passiflora_citrifolia,x,1,1,0.86,0.93
Passiflora_chrysosepala,x,0,1,0.88,0.94
Passiflora_amethystina,9,1,1,0.99,0.995
Passiflora_tuberosa,x,0,1,0.93,0.965
Passiflora_maestrensis,x,0,0.58,0.88,0.73
Passiflora_exsudans,12,1,1,0.99,0.995
Passiflora_vespertilio,x,NA,0.73,0.76,0.745
Passiflora_trifoliata,x,NA,0.72,0.88,0.8
Passiflora_insignis,x,NA,0.59,0.82,0.705
Passiflora_lobbii,x,NA,0.6,0.83,0.715
Passiflora_sexflora,x,0,1,0.88,0.94
Passiflora_pendens,x,0,1,0.93,0.965
Passiflora_karwinskii,x,0,1,0.92,0.96
Passiflora_cinnabarina,x,NA,0.73,0.84,0.785
Passiflora_jussieui,x,1,1,0.87,0.935
Passiflora_pardifolia,x,0,1,0.92,0.96
Passiflora_boenderi,x,0,1,0.92,0.96
Passiflora_cupiformis,x,NA,0.73,0.85,0.79
Passiflora_arta,6,0,1,0.99,0.995
Passiflora_oerstedii,x,1,1,0.93,0.965
Passiflora_apetala,x,0,1,0.97,0.985
Passiflora_menispermifolia,x,1,1,0.9,0.95
Passiflora_capparidifolia,x,1,1,0.92,0.96
Passiflora_vitifolia,9,1,1,0.99,0.995
Passiflora_pohlii,x,0,1,0.97,0.985
Passiflora_berteroana,x,0,1,0.96,0.98
Passiflora_exura,x,1,1,0.97,0.985
Passiflora_leptoclada,x,0,1,0.96,0.98
Passiflora_foetida_var._hastata,x,1,0.99,0.93,0.96
Passiflora_podlechii,x,NA,0.6,0.83,0.715
Passiflora_seemannii,9,1,1,1,1
Passiflora_microstipula,9,1,1,0.99,0.995
Passiflora_urubiciensis,x,1,1,0.92,0.96
Passiflora_foetida,10,1,0.99,0.99,0.99
Passiflora_setulosa,x,1,1,0.9,0.95
Passiflora_cerasina,x,1,1,0.95,0.975
Passiflora_cumbalensis,9,1,1,0.99,0.995
Passiflora_pittieri,x,1,1,0.95,0.975
Passiflora_reflexiflora,x,1,1,0.91,0.955
Passiflora_cuneata,x,1,0.65,0.98,0.815
Passiflora_nephrodes,x,1,1,0.9,0.95
Passiflora_eichleriana,x,1,1,0.97,0.985
Passiflora_crispolanata,x,1,0.84,0.96,0.9
Passiflora_roseorum,x,1,1,0.98,0.99
Passiflora_ligularis,9,1,1,1,1
Passiflora_glaberrima,x,1,0.99,0.9,0.945
Passiflora_tica,x,1,0.95,0.95,0.95
Passiflora_ambigua,x,1,0.89,0.87,0.88
Passiflora_tina,x,1,1,0.91,0.955
Passiflora_macrophylla,x,1,1,0.95,0.975
Passiflora_pusilla,x,0,1,0.87,0.935
Passiflora_membranacea,x,NA,0.9,0.77,0.835
Passiflora_pinnatistipula,x,NA,0.59,0.84,0.715
Passiflora_macropoda,x,1,0.99,0.9,0.945
Passiflora_acuminata,x,1,0.91,0.93,0.92
Passiflora_trintae,x,1,0.5,0.83,0.665
Passiflora_tryphostemmatoides,x,1,0.8,0.69,0.745
Passiflora_tacsonioides,x,0,0.63,0.89,0.76
Passiflora_micropetala,x,0,1,0.89,0.945
Passiflora_mcvaughiana,x,0,1,0.94,0.97
Passiflora_jamesonii,x,0,0.73,0.89,0.81
Passiflora_obtusifolia,6,0,1,0.99,0.995
Passiflora_altebilobata,x,NA,0.73,0.88,0.805
Passiflora_allantophylla,x,0,1,0.89,0.945
Passiflora_cochinchinensis,x,NA,0.73,0.81,0.77
Passiflora_sidiifolia,x,1,1,0.96,0.98
Passiflora_kawensis,x,1,1,0.86,0.93
Passiflora_rugosissima,x,0,1,0.87,0.935
Passiflora_rubra,6,0,1,0.99,0.995
Passiflora_racemosa,9,1,1,0.99,0.995
Passiflora_perakensis,x,NA,0.73,0.89,0.81
Passiflora_mandonii,x,NA,0.58,0.84,0.71
Passiflora_holosericea,7,0,1,0.99,0.995
Passiflora_tenella,x,1,0.87,0.83,0.85
Passiflora_multiflora,x,0,0.59,0.88,0.735
Passiflora_kalbreyeri,x,0,1,0.94,0.97
Passiflora_garckei,x,1,1,0.94,0.97
Passiflora_amazonica,x,1,1,0.92,0.96
Passiflora_sanguinolenta,6,0,1,0.99,0.995
Passiflora_hollrungii,x,NA,0.73,0.84,0.785
Passiflora_haematostigma,12,1,1,0.99,0.995
Passiflora_speciosa,x,1,1,0.94,0.97
Passiflora_mollissima,9,1,1,0.99,0.995
Passiflora_mixta,9,1,1,0.99,0.995
Passiflora_hirtiflora,x,0,1,0.92,0.96
Passiflora_rufa,x,NA,0.6,0.76,0.68
Passiflora_riparia,x,1,1,0.9,0.95
Passiflora_recurva,x,1,1,0.94,0.97
Passiflora_talamancensis,x,0,0.58,0.88,0.73
Passiflora_pedicellaris,x,1,0.93,0.83,0.88
Passiflora_mathewsii,x,1,1,0.98,0.99
Passiflora_subrotunda,x,1,1,0.97,0.985
Passiflora_morifolia,6,0,1,0.99,0.995
Passiflora_urnifolia,x,0,1,0.95,0.975
Passiflora_tulae,x,0,0.58,0.88,0.73
Passiflora_crenata,x,1,1,0.97,0.985
Passiflora_alata,9,1,1,0.99,0.995
Passiflora_sexocellata,x,0,1,0.97,0.985
Passiflora_campanulata,x,1,1,0.92,0.96
Passiflora_trifasciata,x,0,1,0.94,0.97
Passiflora_perfoliata,x,0,0.58,0.89,0.735
Passiflora_picturata,x,1,1,0.95,0.975
Passiflora_adenopoda,6,0,1,0.99,0.995
Passiflora_pyrrhantha,x,1,1,0.85,0.925
Passiflora_penduliflora,x,0,0.58,0.9,0.74
Passiflora_andina,x,1,0.87,0.93,0.9
Passiflora_lanata,x,0,0.72,0.88,0.8
Passiflora_viridiflora,x,0,1,0.94,0.97
Passiflora_kuranda,x,NA,1,0.6,0.8
Passiflora_jorullensis,x,0,1,0.92,0.96
Passiflora_suberosa,12,1,1,0.99,0.995
Passiflora_sprucei,x,1,1,0.92,0.96
Passiflora_aurantioides,x,NA,1,0.67,0.835
