Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Acacia_dawsonii,x,0,1,0.95,0.975
Acacia_anthochaera,x,0,1,0.95,0.975
Acacia_argyraea,x,0,1,0.96,0.98
Acacia_glaucissima,x,0,1,0.98,0.99
Acacia_subsessilis,x,0,1,0.96,0.98
Acacia_spathulifolia,x,0,1,0.95,0.975
Acacia_blakei,x,0,0.76,0.98,0.87
Acacia_aspera,x,0,1,0.97,0.985
Acacia_cochlearis,13,0,1,1,1
Acacia_vestita,13,0,1,1,1
Acacia_latisepala,x,0,1,0.98,0.99
Acacia_inceana,x,0,0.92,0.96,0.94
Acacia_flagelliformis,x,0,1,0.95,0.975
Acacia_chisholmii,x,0,1,0.95,0.975
Acacia_cavealis,x,1,0.46,0.97,0.715
Acacia_dunnii,x,0,1,0.93,0.965
Acacia_phlebopetala,x,0,1,0.91,0.955
Acacia_triptera,13,0,1,1,1
Acacia_brachyclada,x,0,0.99,0.97,0.98
Acacia_longispicata,13,0,1,1,1
Acacia_hammondii,x,0,1,0.97,0.985
Acacia_stipuligera,x,0,1,0.96,0.98
Acacia_aprica,x,0,0.62,0.99,0.805
Acacia_wanyu,x,0,1,0.96,0.98
Acacia_acinacea,13,0,1,1,1
Acacia_alcockii,x,0,1,0.99,0.995
Acacia_caroleae,x,0,0.76,0.98,0.87
Acacia_leucoclada,13,0,1,1,1
Acacia_pulchella,13,0,1,1,1
Acacia_rivalis,x,0,1,0.99,0.995
Acacia_curvata,x,0,1,0.96,0.98
Acacia_yunnanensis,x,0,1,0.98,0.99
Acacia_oraria,x,0,1,0.93,0.965
Acacia_gonocarpa,x,0,1,0.98,0.99
Acacia_betchei,x,0,1,1,1
Acacia_stenophylla,13,0,1,1,1
Acacia_bromilowiana,x,0,1,0.97,0.985
Acacia_platycarpa,x,0,1,0.92,0.96
Acacia_tindaleae,x,0,1,0.97,0.985
Acacia_rubida,13,0,1,1,1
Acacia_sibilans,x,0,0.78,1,0.89
Acacia_parramattensis,13,0,1,1,1
Acacia_pennata,13,0,1,1,1
Acacia_cardiophylla,13,0,1,1,1
Acacia_craspedocarpa,x,0,0.62,0.97,0.795
Acacia_fasciculifera,x,0,1,0.91,0.955
Acacia_dorothea,x,0,1,0.97,0.985
Acacia_acuminata_subsp._burkittii,x,0,1,0.98,0.99
Acacia_reniformis,x,0,1,0.99,0.995
Acacia_longifolia,13,0,1,1,1
Acacia_ancistrocarpa,x,0,1,0.99,0.995
Acacia_alata,13,0,1,1,1
Acacia_monticola,x,0,1,0.98,0.99
Acacia_amyctica,x,1,0.95,0.98,0.965
Acacia_sericoflora,x,0,1,0.99,0.995
Acacia_mitchellii,x,0,1,0.98,0.99
Acacia_riograndensis,x,0,1,0.94,0.97
Acacia_perangusta,x,0,1,1,1
Acacia_anasilla,x,0,1,0.97,0.985
Acacia_paradoxa,13,0,1,0.99,0.995
Acacia_cedroides,x,0,1,0.96,0.98
Acacia_chartacea,x,0,1,0.98,0.99
Acacia_axillaris,x,0,1,0.99,0.995
Acacia_aciphylla,x,0,1,0.97,0.985
Acacia_acrionastes,x,0,1,1,1
Acacia_halliana,x,0,1,0.96,0.98
Acacia_kempeana,x,0,0.76,0.97,0.865
Acacia_anegadensis,x,0,0.88,0.99,0.935
Acacia_validinervia,x,0,1,0.97,0.985
Acacia_excentrica,x,0,1,0.96,0.98
Acacia_auratiflora,x,0,1,0.98,0.99
Acacia_mayana,x,0,0.87,0.97,0.92
Acacia_constablei,x,0,1,0.99,0.995
Acacia_nyssophylla,x,0,1,0.98,0.99
Acacia_pruinescens,x,0,1,0.98,0.99
Acacia_conspersa,x,0,1,0.94,0.97
Acacia_viscidula,x,0,1,0.99,0.995
Acacia_pustula,x,0,1,0.97,0.985
Acacia_covenyi,x,0,1,0.97,0.985
Acacia_leptocarpa,13,0,1,1,1
Acacia_complanata,x,0,1,0.96,0.98
Acacia_scirpifolia,x,0,1,0.93,0.965
Acacia_confusa,13,0,1,1,1
Acacia_errabunda,x,0,1,0.95,0.975
Acacia_ixodes,x,0,1,0.95,0.975
Acacia_enterocarpa,x,0,1,0.97,0.985
Acacia_dodonaeifolia,13,0,1,1,1
Acacia_binervata,x,0,1,1,1
Acacia_retivenea,x,0,1,0.92,0.96
Acacia_anaticeps,x,0,1,0.95,0.975
Acacia_dolichophylla,x,0,1,0.94,0.97
Acacia_hastulata,x,0,1,0.92,0.96
Acacia_tetragonophylla,13,0,1,1,1
Acacia_luederitzii,x,0,1,0.97,0.985
Acacia_jensenii,x,0,1,0.93,0.965
Acacia_gregorii,x,0,1,0.88,0.94
Acacia_acutata,x,0,1,0.92,0.96
Acacia_calamifolia,13,0,1,1,1
Acacia_oldfieldii,x,0,1,0.96,0.98
Acacia_idiomorpha,x,0,1,0.95,0.975
Acacia_pycnantha,13,0,1,1,1
Acacia_wattsiana,x,0,1,0.99,0.995
Acacia_arrecta,x,0,1,0.98,0.99
Acacia_havilandiorum,x,0,1,0.95,0.975
Acacia_mearnsii,13,0,1,1,1
Acacia_spirorbis_subsp._solandri,x,0,1,1,1
Acacia_trinervata,x,0,1,1,1
Acacia_polyacantha,13,0,1,1,1
Acacia_chrysotricha,x,0,1,0.96,0.98
Acacia_pachyacra,x,0,1,0.95,0.975
Acacia_cana,x,0,0.78,0.99,0.885
Acacia_multisiliqua,x,0,1,0.97,0.985
Acacia_dempsteri,x,0,1,0.94,0.97
Acacia_cyclops,x,0,1,0.98,0.99
Acacia_drummondii,x,0,1,0.96,0.98
Acacia_dictyoneura,x,0,1,0.97,0.985
Acacia_declinata,x,0,0.96,0.98,0.97
Acacia_argutifolia,x,0,1,0.93,0.965
Acacia_bracteolata,x,0,1,0.93,0.965
Acacia_longispinea,x,0,1,0.93,0.965
Acacia_ancistrophylla,x,1,0.95,0.99,0.97
Acacia_wilhelmiana,x,0,1,0.95,0.975
Acacia_boliviana,x,0,1,0.97,0.985
Acacia_longifolia_subsp._sophorae,13,0,1,1,1
Acacia_theronii,x,0,1,0.94,0.97
Acacia_fulva,x,0,1,0.98,0.99
Acacia_obtusifolia,x,0,1,0.97,0.985
Acacia_melleodora,x,0,1,0.93,0.965
Acacia_coa,x,0,0.62,0.98,0.8
